run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-0-20240608-15:20:35-136299,param,,,**.dc.serviceDeployed,"""service""",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.fg.**.enableQueue,false,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.fg.**.hasCloudEvents,false,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.fg.serviceDeployed,"""service2""",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.dc.stack.numApps,1,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.dc.stack.app[0].typename,"""TcpGenericServerApp""",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.dc.stack.app[0].replyDelay,0s,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.dc.stack.app[0].localPort,443,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.fg.stack.numApps,1,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.fg.stack.app[0].typename,"""TcpGenericServerApp""",,,
targetDc-0-20240608-15:20:35-136299,param,,,**.fg.stack.app[0].replyDelay,0s,,,
targetDc-0-20240608-15:20:35-136299,param,,,**.fg.stack.app[0].localPort,443,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,configname,targetDc,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,datetime,20240608-15:20:43,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,experiment,targetDc,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,inifile,omnetpp.ini,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,iterationvars,,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,iterationvarsf,,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,measurement,,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,network,SimpleFogNetwork,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,processid,136299,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,repetition,13,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,replication,#13,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,resultdir,results,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,runnumber,13,,,
targetDc-13-20240608-15:20:43-136299,runattr,,,seedset,13,,,
targetDc-13-20240608-15:20:43-136299,param,,,**.tile*.serviceName,"""service""",,,
targetDc-13-20240608-15:20:43-136299,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-13-20240608-15:20:43-136299,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-13-20240608-15:20:43-136299,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-13-20240608-15:20:43-136299,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-13-20240608-15:20:43-136299,param,,,*.simData.manager.experiment,"""Test""",,,
