run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250510-21:01:22-59696,vector,BigNet.usersD[1].controller.apps.appModule[0].app,roundTripTime:vector,,,"64.651118157353 67.472351994134 70.283076632533 73.081178574702 124.64818594779 127.471276980294 130.27972656699 133.094108098188 184.648426835317 187.467732339038 190.276164823399 193.102897999053 244.648379918055 247.479910894394 250.285332558055 253.098058604928 304.657234292833 307.467043135129 310.275006646958 313.091204848903 364.649048733223 367.468737530295 370.283849469875 373.080240568571 424.651587915133 427.47210697278 430.28267009175 433.091114951108 484.648898851891 487.47778980515 490.280928763988 493.088465522743 544.650279803138 547.47058831576 550.281565774376 553.081391417807 604.649037164424 607.468899706879 610.287434214853 613.077970630474 664.656569886925 667.468116920215 670.283033347515 673.081016833656 724.646689321005 727.469523239559 730.288992107961 733.08109764083 784.654632085167 787.478827333635 790.276898572625 793.089363561074 844.64908991736 847.482378855962 850.278534655312 853.083356890966 904.650729423555 907.478313473264 910.28439245025 913.08278686314 964.659772012852 967.469264997156 970.286101054234 973.084290118488 1024.654439814617 1027.478617473095 1030.275832868924 1033.082353251092 1084.65758727614 1087.485475830229 1090.27870506975 1093.084557276487 1144.65042403686 1147.472239368847 1150.288760591335 1153.079110130493 1204.647113258101 1207.472025428659 1210.279814822121 1213.082761272991 1264.6539316254 1267.47217170521 1270.279267537568 1273.083900520192 1324.652159562095 1327.469874681275 1330.279365024415 1333.082146058528 1384.649304871228 1387.475478273426 1390.28465985059 1393.081332810703 1444.646973935565 1447.472877783525 1450.286462161502 1453.081218506235 1504.646261802794 1507.472219108196 1510.283624225039 1513.093152657472 1564.654300219884 1567.470187340364 1570.290313827884 1573.087973908409 1624.646257389196 1627.469630412789 1630.280526201385 1633.080924398659 1684.650874535465 1687.4705309298 1690.275683913969 1693.087663685797 1744.651726448688 1747.472361072971 1750.279685659215 1753.083579351041 1804.65485912137 1807.468431632615 1810.282496754864 1813.081281175028 1864.651234181445 1867.475042735441 1870.291427704087 1873.086895625223 1924.651520691022 1927.477792934406 1930.281326770215 1933.084198014756 1984.646256707823 1987.470349910155 1990.280409733779 1993.083643725151 2045.657092471812 2047.475069647624 2050.288153481382 2053.080550008922 2104.648006075874 2107.467067738317 2110.275005558088 2113.086800034202 2164.653842103318 2167.47446508824 2170.279667136775 2173.085367672889 2224.657559400895 2227.477091062291 2230.288289682794 2233.078352374083 2284.651425942383 2287.475362157962 2290.286165328731 2293.085921182974 2344.648328150086 2347.473121377174 2350.277116785709 2353.086104324739 2404.6567809582 2407.485259137466 2410.285433404678 2413.087409998131 2464.649502411834 2467.473681133881 2470.277919192932 2473.080202449585 2524.647470721081 2527.47535446114 2530.275360227762 2533.090608160127 2584.654157007619 2587.468809787615 2590.281235014032 2593.089957352035 2644.665267887758 2647.467138344987 2650.281343310312 2653.084880673585 2704.651109108311 2707.474709996166 2710.293049112249 2713.083680826644 2764.661639512319 2767.476018233587 2770.285001596226 2773.081795409962 2824.650507239683 2827.480504151016 2830.281027362069 2833.085896736677 2884.649057124963 2887.472836278802 2890.285742178352 2893.082706077191 2944.660614465374 2947.481177357726 2950.282448385515 2953.084554861766 3004.671994264361 3007.470426618568 3010.276463715483 3013.090513984079 3064.647705339014 3067.475736942117 3070.278156714166 3073.087568840003 3124.650959346724 3127.478458368751 3130.279005941938 3133.082271682382 3184.65782116516 3187.472668165199 3190.283192517029 3193.092105380426 3244.652259315711 3247.469512860752 3250.278945496752 3253.080487658912 3304.658601118714 3307.470721895525 3310.277352272054 3313.077978117675 3364.646880512922 3367.47867109253 3370.285792849162 3373.079434493024 3424.654442357948 3427.473968930093 3430.287109657158 3433.078056051008 3484.653859873975 3487.473406878976 3490.279255203211 3493.086385153022 3544.663791685496 3547.467040189486 3550.281506892339 3553.089945891823","0.54888397534999 0.549341306386 0.552095506632 0.547233340503 0.545951765787 0.54826629254599 0.54874544108901 0.56016286398901 0.54619265331399 0.54472165129002 0.545183697498 0.568952764854 0.54614573605198 0.55690020664599 0.55435143215399 0.56411337072899 0.55500011083001 0.54403244738103 0.54402552105699 0.55725961470398 0.54681455122 0.54572684254703 0.55286834397401 0.54629533437202 0.54935373313003 0.54909628503202 0.551688965849 0.55716971690902 0.546664669888 0.55477911740201 0.54994763808702 0.55452028854398 0.54804562113497 0.54757762801205 0.55058464847502 0.54744618360803 0.54680298242101 0.5458890191311 0.55645308895203 0.54402539627495 0.55433570492198 0.54510623246711 0.55205222161408 0.54707159945701 0.54445513900191 0.54651255181102 0.55801098206007 0.54715240663097 0.55239790316398 0.55581664588703 0.54591744672405 0.55541832687504 0.54685573535698 0.55936816821406 0.54755352941106 0.54941165676701 0.5484952415519 0.55530278551601 0.55341132434899 0.54884162894098 0.5575378308489 0.54625430940803 0.55511992833306 0.55034488428896 0.552205632614 0.55560678534698 0.54485174302295 0.54840801689306 0.55535309413699 0.56246514248096 0.54772394384895 0.55061204228809 0.5481898548569 0.54922868109884 0.5577794654339 0.54516489629418 0.54487907609791 0.54901474091093 0.54883369621984 0.54881603879198 0.55169744339696 0.54916101746198 0.54828641166682 0.54995528599306 0.54992538009196 0.54686399352704 0.54838389851398 0.54820082432911 0.54707068922494 0.55246758567796 0.55367872468901 0.54738757650398 0.544739753562 0.54986709577702 0.55548103560091 0.54727327203614 0.54402762079098 0.54920842044794 0.55264309913787 0.55920742327316 0.55206603788088 0.54717665261592 0.55933270198284 0.55402867421003 0.54402320719305 0.54661972504096 0.54954507548382 0.54697916446003 0.54864035346191 0.54752024205186 0.54470278806798 0.55371845159812 0.54949226668487 0.54935038522285 0.54870453331387 0.54963411684207 0.55262493936698 0.54542094486692 0.55151562896299 0.54733594082904 0.548999999442 0.55203204769282 0.56044657818597 0.55295039102407 0.54928650901888 0.55478224665785 0.55034564431389 0.550252780557 0.54402252581986 0.54733922240689 0.54942860787787 0.5496984909521 1.5548582898089 0.55205895987592 0.55717235548082 0.54660477472271 0.54577189387101 0.54405705056888 0.54402443218669 0.55285480000293 0.55160792131483 0.55145440049182 0.54868601087401 0.55142243868977 0.55532521889199 0.55408037454299 0.55730855689308 0.54440713988379 0.54919176037993 0.55235147021403 0.55518420282988 0.55197594877473 0.54609396808291 0.55011068942576 0.54613565980799 0.55215909054004 0.55454677619673 0.56224844971803 0.55445227877681 0.55346476393197 0.54726822983093 0.5506704461327 0.54693806703108 0.54625721538605 0.54523653907791 0.55234377339184 0.54437910186107 0.55666292592787 0.55192282561575 0.54579909986705 0.55025388813101 0.55601211783596 0.56303370575506 0.54412765723873 0.55036218441091 0.55093543938574 0.54887492630769 0.55169930841794 0.56206798634776 0.5497355924449 0.55940533031571 0.55300754583868 0.55402047032476 0.54785017576296 0.54827305768003 0.55749346326775 0.55004623616787 0.551951502478 0.54682294295981 0.54982559105383 0.55476105245089 0.54876084299167 0.55838028337075 0.55816666997771 0.55146725961367 0.5506096275667 0.56976008235779 0.54741593082008 0.54548258958175 0.55656874987972 0.54547115701098 0.55272625436874 0.54717558826496 0.55362360580375 0.54872516472096 0.55544768100299 0.54802481603701 0.54832644818271 0.5555869831569 0.54965747745109 0.55221139112791 0.55816014622678 0.550025133708 0.54650217300377 0.54796437085088 0.5465424247127 0.55636693671113 0.54771120777696 0.54637114615298 0.54403288347567 0.54464633091902 0.55566040478197 0.55481172326108 0.545489258825 0.552208175945 0.55095824234468 0.55612853125695 0.54411081680882 0.55162569197182 0.55039619122772 0.54827407731 0.55243991882298 0.56155750349308 0.5440295017379 0.55052576643766 0.55600065762383"
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[1].controller.apps.appModule[0].app,roundTripTime:vector,interpolationmode,none,,
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[1].controller.apps.appModule[0].app,roundTripTime:vector,recordingmode,vector,,
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[1].controller.apps.appModule[0].app,roundTripTime:vector,title,round trip time,,
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[1].controller.apps.appModule[0].app,roundTripTime:vector,unit,s,,
targetDc-0-20250510-21:01:22-59696,vector,BigNet.usersD[0].controller.apps.appModule[0].app,roundTripTime:vector,,,"65.098394659463 67.691134992251 70.306102748074 73.302528432969 125.092773763247 127.688969772332 130.314752886813 133.290115307508 185.100227259031 187.689448656246 190.308474140686 193.292002054998 245.096697887368 247.684103762909 250.309565699012 253.294507344969 305.100724296441 307.690842666194 310.315551296928 313.300156438966 365.097039275704 367.684098277874 370.307100270806 373.296254190619 425.100702066358 427.693823052005 430.309265032418 433.295408813715 485.097251978719 487.691637409059 490.307632688425 493.306779335118 545.091116549321 547.690183602558 550.30774341298 553.304767449708 605.094518043353 607.686515733308 610.306502462015 613.295549243598 665.106187336793 667.684105703509 670.306539890128 673.299305673059 725.093660165553 727.690650815767 730.31950570037 733.293927799348 785.109794460417 788.696468877251 790.312144681767 793.290596636006 845.099869600392 847.68853760555 850.302873096046 853.29692681793 906.093848225905 907.707703877062 910.314795846518 913.290113811821 965.097906168142 967.684104199835 970.302466131632 973.301684023933 1025.091655962357 1027.692348945861 1030.306689135654 1033.290413194169 1085.097802774313 1087.689397924855 1090.302836431951 1093.29481253961 1145.095397530425 1148.698659141749 1150.310617883372 1153.291439403384 1205.09071450261 1207.692903683095 1210.304615202541 1213.305283308263 1265.099203228058 1267.69388137073 1270.313452936185 1273.298904944413 1325.093816253698 1327.68496506622 1330.302467332395 1333.296945953096 1385.100104907844 1387.699475635424 1390.308580747775 1393.296393572942 1445.10241337572 1447.690103894152 1450.317083366701 1453.295739057185 1505.09860274339 1507.692181742057 1510.302459259542 1513.29548886408 1565.096109058437 1567.690120093946 1570.322238774718 1573.303811120883 1625.090716368838 1627.687665419525 1630.307685418687 1633.301456655937 1685.102444433601 1687.688348338326 1690.311701520876 1693.303225116223 1745.098431353685 1747.684109183275 1750.303257617787 1753.29391421565 1805.094350426154 1807.684244755838 1810.313078221764 1813.298049725867 1865.104725919857 1867.684367902186 1870.304502292374 1873.296691981445 1925.093960238563 1927.688020062569 1930.308391403335 1933.306698183222 1985.093072150418 1987.688404218867 1990.309172873964 1993.298732529603 2045.100945983997 2047.685753018938 2050.313438868907 2053.297095738561 2105.098351027171 2107.694522136016 2110.302600248718 2113.292176637879 2165.092378135368 2167.695336521431 2171.306806449092 2173.297606992118 2225.092572710475 2227.690412035137 2230.309515630925 2233.291662045381 2285.090710536884 2287.692207685569 2290.311237114801 2293.296715072673 2345.097747211182 2347.687233796101 2350.308400118605 2353.293068803623 2405.100156346321 2407.693088094319 2410.31771218739 2413.293772991698 2465.096103548996 2467.687757327011 2470.311785779295 2473.297137965547 2525.100116447207 2527.689802259866 2530.3096247872 2533.290463761776 2585.098123203213 2587.688453469797 2590.304883067674 2594.296340434476 2645.100151353848 2647.688835609661 2650.30890464203 2653.293635705708 2705.091498790688 2707.685325474262 2710.309236468191 2713.292090141248 2765.093650041871 2767.686532331592 2770.303177384341 2774.295830752713 2825.100967117114 2827.689673383811 2830.306662102645 2833.296962415181 2885.093074139455 2887.686219624606 2890.307656302041 2893.295014902589 2945.10182434939 2947.68565859487 2950.306305777992 2953.297304901066 3005.090983505488 3007.694689494665 3010.310773491548 3013.301435110415 3065.094772959236 3067.686779628262 3070.307285023735 3073.290109955897 3125.095898537692 3127.694344312831 3130.310675858887 3133.295505791429 3185.099580069103 3187.690372312329 3190.308657090239 3193.299652280548 3245.100963094141 3247.686213321505 3250.302464070784 3253.298027982929 3305.09351686091 3307.687473935651 3311.30449880109 3313.299766974658 3365.100002930567 3367.691264567467 3370.303463832964 3373.295962431431 3425.104227432802 3427.695947571812 3430.309097988996 3433.292631784063 3485.097429305171 3487.688901328121 3491.31481261114 3493.293189084852 3545.094620542175 3547.684098956646 3550.30705166172 3553.297035045642","0.551709663765 0.551059090556 0.54766578470699 0.55644050344699 0.54608876754899 0.548893870637 0.55631592344602 0.544027377986 0.55354226333299 0.549372754551 0.55003717731901 0.545914125476 0.55001289167001 0.544027861214 0.55112873564499 0.548419415447 0.554039300743 0.55076676449897 0.557114333561 0.55406850944399 0.55035428000599 0.54402237617899 0.54866330743903 0.55016626109699 0.55401707066 0.55374715030996 0.55082806905102 0.54932088419298 0.55056698302099 0.551561507364 0.54919572505798 0.560691405596 0.54443155362299 0.55010770086301 0.54930644961303 0.55867952018605 0.54783304765499 0.54643983161293 0.54806549864804 0.54946131407598 0.55950234109503 0.54402980181396 0.54810292676098 0.55321774353695 0.54697516985493 0.55057491407194 0.56106873700298 0.54783986982602 0.56310946471899 1.5563929755559 0.55370771840001 0.54450870648395 0.55318460469402 0.54846170385497 0.54443613267904 0.55083888840795 1.5471632302069 0.56762797536692 0.55635888315101 0.54402588229902 0.551221172444 0.54402829814001 0.54402916826496 0.55559609441104 0.54497096665909 0.55227304416599 0.54825217228699 0.54432526464689 0.55111777861498 0.54932202316013 0.54439946858406 0.5487246100879 0.5487125347272 1.5585832400541 0.55218092000518 0.54535147386196 0.54402950691201 0.55282778140008 0.5461782391742 0.55919537874092 0.55251823236017 0.55380546903507 0.55501597281818 0.55281701489093 0.54713125800004 0.5448891645251 0.54403036902818 0.55085802357394 0.55341991214618 0.55939973372915 0.55014378440819 0.55030564341996 0.55572838002217 0.55002799245699 0.55864640333402 0.54965112766308 0.55191774769219 0.55210584036217 0.54402229617517 0.54940093455798 0.54942406273904 0.55004419225111 0.56380181135114 0.55772319136099 0.54403137314011 0.54758951783015 0.54924845532014 0.55536872641505 0.55575943790313 0.54827243663112 0.55326455750901 0.55713718670108 0.55174635798699 0.54403328158014 0.54482065442016 0.54782628612793 0.54766543045616 0.54416885414298 0.55464125839717 0.55196179634504 0.55804092415906 0.54429200049117 0.54606532900698 0.55060405192307 0.547275242865 0.54794416087407 0.54995443996813 0.56061025369991 0.54638715472015 0.54832831717204 0.55073591059704 0.55264460008107 0.55426098829912 0.54567711724303 0.55500190553994 0.55100780903922 0.55166603147291 0.55444623432095 0.54416328535126 0.54608870835727 0.54569313967022 0.55526061973569 1.5483694857253 0.55151906259607 0.54588771477711 0.55033613344176 0.55107866755816 0.54557411585938 0.54402554118587 0.55213178387385 0.55280015143398 0.55062714315136 0.55106221548385 0.5471578944057 0.54996315523795 0.54698087410134 0.55347135062311 0.55301219262401 0.55927522402317 0.54768506217624 0.54941855329798 0.54768142531566 0.55334881592808 0.55105003602512 0.55343145150891 0.54972635817103 0.55118782383306 0.54437583225399 0.55143820751528 0.54837756810184 0.54644610430705 1.5502525049542 0.55346635815022 0.54875970796593 0.55046767866315 0.54754777618609 0.5448137949902 0.54524957256672 0.55079950482423 0.54600221172632 0.54696504617323 0.54645642989681 0.54474042097399 1.5497428231911 0.55428212141624 0.54959748211604 0.5482251392782 0.55087448565928 0.5463891437571 0.54614372291098 0.54921933867399 0.54892697306695 0.55513935369208 0.54558269317477 0.54786881462496 0.55121697154436 0.54429850979022 0.55461359296987 0.55233652818106 0.55534718089302 0.54808796353791 0.54670372656665 0.54884806036807 0.54402202637539 0.54921354199405 0.55426841113604 0.55223889552008 0.54941786190739 0.55289507340513 0.55029641063402 0.55022012687186 0.55356435102613 0.55427809844286 0.54613741980984 0.54402710741715 0.55194005340718 0.54683186521197 0.54739803395569 1.5460618377228 0.55367904513605 0.55331793486903 0.55118866577186 0.54502686959722 0.54987450190902 0.55754243710408 0.55587167011663 0.55066102562887 0.54654385454114 0.55074430947298 0.54882542642599 1.5563756477732 0.54710115532998 0.54793554647722 0.54402305495069 0.54861469835305 0.55094711612037"
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[0].controller.apps.appModule[0].app,roundTripTime:vector,interpolationmode,none,,
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[0].controller.apps.appModule[0].app,roundTripTime:vector,recordingmode,vector,,
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[0].controller.apps.appModule[0].app,roundTripTime:vector,title,round trip time,,
targetDc-0-20250510-21:01:22-59696,attr,BigNet.usersD[0].controller.apps.appModule[0].app,roundTripTime:vector,unit,s,,
