run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-0-20240612-20:55:21-5826,param,,,**.controller.ns.dns,"""10.0.0.1""",,,
targetDc-0-20240612-20:55:21-5826,vector,BigNet.dc.resourceManager,allocatedVms:vector,,,,"70.767204948763 70.77390832896 70.947743826596 70.995276675179 71.086841127828 71.118186864992 71.119891027462 71.261969798946 71.475755168874 71.573300006695 71.860029135593 71.886450093938 72.326538630386 72.479284541201 72.555920791723 72.595144558164 72.596313638077 72.683964440591 72.827815948219 72.991121058151 73.053326184542 73.158238081876 73.26540146237 73.945082161748 74.203814539851 74.42474421446 74.442883713068 74.674438979891 76.362848171567 80.805658731604 80.953940412307 81.703203945573 81.865906462759 82.161493466768 82.303997903573 82.503919134161 82.680928109434 82.736027976569 82.751359716105 82.875351457782 82.897021804859 83.070153403399 83.152607437527 83.287249101503 83.314146250529 83.421577183949 83.468945667516 83.471506102204 83.471512890655 83.472924534173 83.495125429812 83.505211245301 83.599208186227 83.701162204495 83.737534863348 83.765933688262 83.811207477791 83.824359634694 83.960294224564 83.976204958789 84.022197615433 84.042043141118 84.090478543372 84.341022087849 84.342743996595 84.556933314036 84.640523814258 84.649881777166 84.665361288575 84.667320303116 84.678604507959 84.760057895108 84.813506235185 84.949588425887 84.954736854629 85.004819281805 85.034034742135 85.07271092264 85.084548292454 85.085437499908 85.118778381236 86.222823571335 86.438849481399 86.766352699903 86.817302780977 86.8629482468 87.217929175682 87.523969220868 92.856879792224 94.074937614851","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90"
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedVms:vector,source,sum(allocatedVms),,,
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedVms:vector,title,"VMs reservadas, vector",,,
targetDc-0-20240612-20:55:21-5826,vector,BigNet.dc.resourceManager,allocatedCores:vector,,,,"70.767204948763 70.77390832896 70.947743826596 70.995276675179 71.086841127828 71.118186864992 71.119891027462 71.261969798946 71.475755168874 71.573300006695 71.860029135593 71.886450093938 72.326538630386 72.479284541201 72.555920791723 72.595144558164 72.596313638077 72.683964440591 72.827815948219 72.991121058151 73.053326184542 73.158238081876 73.26540146237 73.945082161748 74.203814539851 74.42474421446 74.442883713068 74.674438979891 76.362848171567 80.805658731604 80.953940412307 81.703203945573 81.865906462759 82.161493466768 82.303997903573 82.503919134161 82.680928109434 82.736027976569 82.751359716105 82.875351457782 82.897021804859 83.070153403399 83.152607437527 83.287249101503 83.314146250529 83.421577183949 83.468945667516 83.471506102204 83.471512890655 83.472924534173 83.495125429812 83.505211245301 83.599208186227 83.701162204495 83.737534863348 83.765933688262 83.811207477791 83.824359634694 83.960294224564 83.976204958789 84.022197615433 84.042043141118 84.090478543372 84.341022087849 84.342743996595 84.556933314036 84.640523814258 84.649881777166 84.665361288575 84.667320303116 84.678604507959 84.760057895108 84.813506235185 84.949588425887 84.954736854629 85.004819281805 85.034034742135 85.07271092264 85.084548292454 85.085437499908 85.118778381236 86.222823571335 86.438849481399 86.766352699903 86.817302780977 86.8629482468 87.217929175682 87.523969220868 92.856879792224 94.074937614851","2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120"
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedCores:vector,source,sum(allocatedCores),,,
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedCores:vector,title,"CPUs reservadas, vector",,,
targetDc-0-20240612-20:55:21-5826,vector,BigNet.dc.resourceManager,allocatedRam:vector,,,,"70.767204948763 70.77390832896 70.947743826596 70.995276675179 71.086841127828 71.118186864992 71.119891027462 71.261969798946 71.475755168874 71.573300006695 71.860029135593 71.886450093938 72.326538630386 72.479284541201 72.555920791723 72.595144558164 72.596313638077 72.683964440591 72.827815948219 72.991121058151 73.053326184542 73.158238081876 73.26540146237 73.945082161748 74.203814539851 74.42474421446 74.442883713068 74.674438979891 76.362848171567 80.805658731604 80.953940412307 81.703203945573 81.865906462759 82.161493466768 82.303997903573 82.503919134161 82.680928109434 82.736027976569 82.751359716105 82.875351457782 82.897021804859 83.070153403399 83.152607437527 83.287249101503 83.314146250529 83.421577183949 83.468945667516 83.471506102204 83.471512890655 83.472924534173 83.495125429812 83.505211245301 83.599208186227 83.701162204495 83.737534863348 83.765933688262 83.811207477791 83.824359634694 83.960294224564 83.976204958789 84.022197615433 84.042043141118 84.090478543372 84.341022087849 84.342743996595 84.556933314036 84.640523814258 84.649881777166 84.665361288575 84.667320303116 84.678604507959 84.760057895108 84.813506235185 84.949588425887 84.954736854629 85.004819281805 85.034034742135 85.07271092264 85.084548292454 85.085437499908 85.118778381236 86.222823571335 86.438849481399 86.766352699903 86.817302780977 86.8629482468 87.217929175682 87.523969220868 92.856879792224 94.074937614851","4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 100 104 108 112 116 120 122 124 126 128 130 132 134 136 138 140 142 144 146 148 150 152 154 156 158 160 162 164 166 168 170 172 174 176 178 180 182 184 186 188 190 192 194 196 198 200 202 204 206 208 210 212 214 216 218 220 222 224 226 228 230 232 234 236 238 240"
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedRam:vector,source,sum(allocatedRam),,,
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedRam:vector,title,"Memoria RAM reservada, vector",,,
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedRam:vector,unit,GB,,,
targetDc-0-20240612-20:55:21-5826,vector,BigNet.dc.resourceManager,allocatedDisk:vector,,,,"70.767204948763 70.77390832896 70.947743826596 70.995276675179 71.086841127828 71.118186864992 71.119891027462 71.261969798946 71.475755168874 71.573300006695 71.860029135593 71.886450093938 72.326538630386 72.479284541201 72.555920791723 72.595144558164 72.596313638077 72.683964440591 72.827815948219 72.991121058151 73.053326184542 73.158238081876 73.26540146237 73.945082161748 74.203814539851 74.42474421446 74.442883713068 74.674438979891 76.362848171567 80.805658731604 80.953940412307 81.703203945573 81.865906462759 82.161493466768 82.303997903573 82.503919134161 82.680928109434 82.736027976569 82.751359716105 82.875351457782 82.897021804859 83.070153403399 83.152607437527 83.287249101503 83.314146250529 83.421577183949 83.468945667516 83.471506102204 83.471512890655 83.472924534173 83.495125429812 83.505211245301 83.599208186227 83.701162204495 83.737534863348 83.765933688262 83.811207477791 83.824359634694 83.960294224564 83.976204958789 84.022197615433 84.042043141118 84.090478543372 84.341022087849 84.342743996595 84.556933314036 84.640523814258 84.649881777166 84.665361288575 84.667320303116 84.678604507959 84.760057895108 84.813506235185 84.949588425887 84.954736854629 85.004819281805 85.034034742135 85.07271092264 85.084548292454 85.085437499908 85.118778381236 86.222823571335 86.438849481399 86.766352699903 86.817302780977 86.8629482468 87.217929175682 87.523969220868 92.856879792224 94.074937614851","500 1000 1500 2000 2500 3000 3500 4000 4500 5000 5500 6000 6500 7000 7500 8000 8500 9000 9500 10000 10500 11000 11500 12000 12500 13000 13500 14000 14500 15000 15250 15500 15750 16000 16250 16500 16750 17000 17250 17500 17750 18000 18250 18500 18750 19000 19250 19500 19750 20000 20250 20500 20750 21000 21250 21500 21750 22000 22250 22500 22750 23000 23250 23500 23750 24000 24250 24500 24750 25000 25250 25500 25750 26000 26250 26500 26750 27000 27250 27500 27750 28000 28250 28500 28750 29000 29250 29500 29750 30000"
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedDisk:vector,source,sum(allocatedDisk),,,
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedDisk:vector,title,"Almacenamiento reservado, vector",,,
targetDc-0-20240612-20:55:21-5826,attr,BigNet.dc.resourceManager,allocatedDisk:vector,unit,GB,,,
